"RAL Code","RAL Name","Description","Usage Tags","Mood Tags"
"RAL 3003","Ruby red","{0} is red at its most luxurious. It’s a dark, jewel-toned shade with incredible depth and passion. Think of the deep glimmer of a gemstone. It looks its best in a gloss finish, which is why it’s so popular for high-end automotive design and premium branding. In a home, it creates a dramatic, intimate space—perfect for a dining room or a cozy lounge. It conveys prestige, strength, and a sense of wealth. It’s the color of seduction and statement, making any surface look refined, expensive, and beautifully deep.","AUTOMOTIVE, LUXURY_GOODS, INTERIOR_DESIGN, BRANDING, HOSPITALITY","RICH, BOLD, REFINED, PRESTIGIOUS, DEEP"
"RAL 3004","Purple red","{0}—often called Burgundy or Bordeaux—is a dark red with a sophisticated violet-black heart. It’s traditional, conservative, and exudes a sense of history and gravitas. You’ll often see it in heritage architecture or on official limousines because it feels stable and dignified. It’s a favorite for residential shutters and front doors because it offers a warm, mature welcome. In an industrial setting, it’s even used on farm gear to hide soil. It is sober, grounding, and timelessly classic, fitting perfectly into any design that values tradition and a quiet, formal elegance.","HERITAGE_ARCHITECTURE, FRONT_DOORS, RESTORATION, FURNITURE, CULTURAL","TRADITIONAL, CONSERVATIVE, STABLE, DIGNIFIED, MATURE"
"RAL 3005","Wine red","{0} is a deep, dark red that feels as rich as a glass of vintage Cabernet. With its warm brown-black undertones, it conveys a sense of permanence, stability, and quiet luxury. It’s intense and moody, making it a brilliant choice for leather furniture or heavy textiles to create a masculine, 'club-like' atmosphere. In architecture, it creates a striking, graphic silhouette. It is serious and introspective, requiring good lighting to truly show off its rich red heart. Use it when you want a look that is stable, traditional, and incredibly deep.","FURNITURE, ARCHITECTURE, BRANDING, TEXTILES, CULTURAL","ELEGANT, DEEP, WARM, STABLE, TRADITIONAL"
"RAL 3007","Black red","{0} is the mysterious giant of the red family. It is so deep it nearly touches black, with subtle burgundy undertones that only reveal themselves in the light. It’s a sophisticated, 'gothic' shade that provides a softer, warmer alternative to pure black for ironwork or framing. It conveys mystery, authority, and high-end elegance. You’ll find it in avant-garde fashion and luxury 'phantom' edition cars. It suggests hidden depth and an understated power, making any design feel dramatically refined and formally deep without the brightness of a standard red.","ARCHITECTURE, AUTOMOTIVE, LUXURY_GOODS, EXTERIORS, AVANT_GARDE_DESIGN","DARK, MYSTERIOUS, REFINED, DRAMATIC, FORMAL"
"RAL 3009","Oxide red","{0} is an earthy, rust-like red that feels honest and incredibly strong. It mimics natural pigments like iron oxide, which have been used for centuries to protect steel and wood. It’s a traditional industrial staple—think of bridges, shipping containers, and classic Scandinavian cottages. It conveys rustic durability and industrial heritage. It isn't shiny or flashy; it’s non-reflective and visually textured. In interior design, it’s a great way to create a warm, rustic vibe that feels grounded and functional, like foundational strength given color.","ARCHITECTURE, INDUSTRIAL, INFRASTRUCTURE, RESTORATION, ROOFING","EARTHY, STRONG, RUSTIC, GROUNDED, NATURAL"
"RAL 3011","Brown red","{0} is a warm, masonry-like red that feels as sturdy as a brick wall. It’s lighter than 'Oxide' red but still carries that grounded, earthy character that makes it perfect for roofing and traditional buildings. It feels established and permanent, offering a warm terracotta aesthetic that’s very popular in Mediterranean or Southwestern design. It’s a comforting, solid color that doesn't feel like a 'warning' red. It pairs beautifully with natural greens and neutrals, representing a sturdy heritage and a quiet, grounded elegance.","ARCHITECTURE, FURNITURE, RESTORATION, INFRASTRUCTURE, INTERIOR_DESIGN","WARM, SUBDUED, CLASSIC, GROUNDED, NEUTRAL"
"RAL 3012","Beige red","{0} is a soft, calming red with a heart of pink and beige. It looks like unglazed terracotta or a very pale salmon. It’s a muted, 'human' color that works beautifully in healthcare and wellness spaces because it feels warm and non-intrusive. It introduces color without the intensity, creating a gentle atmosphere that is very flattering under soft light. In a home, it’s a lovely way to add comfort and approachability. It’s a gentle shade that conveys softness and health, making it ideal for spaces where you want people to feel relaxed and cared for.","HEALTHCARE, WELLNESS, INTERIOR_DESIGN, FURNITURE, HOSPITALITY","SOFT, WARM, FRIENDLY, CALM, FAMILIAR"
"RAL 3013","Tomato red","{0} is a bold, energetic red that feels as natural as a ripe summer harvest. It has a slightly orange-brown undertone, which removes the 'synthetic' feel of other reds and replaces it with a culinary, organic warmth. It’s a favorite for food branding and retro-style kitchens because it feels homely and vital. It conveys a sense of natural richness and familiarity. It’s the perfect bridge between a vibrant red and a stable brown, offering an energetic but casual warmth that is both positive and appetizing.","BRANDING, PACKAGING, INTERIOR_DESIGN, PRODUCT_DESIGN, RETRO_DESIGN","VIBRANT, FAMILIAR, WARM, ENERGETIC, CASUAL"
"RAL 3014","Antique pink","{0} is a dusty, refined pink that feels like a trip back in time. It has a subtle grey-beige undertone that takes away any sugary sweetness, leaving you with a mature and elegant shade. It’s a favorite for residential bedrooms and bathrooms because it creates such a soothing, romantic atmosphere. It conveys nostalgia and gentleness, much like the look of dried flowers. It pairs beautifully with charcoal grey or sage green, offering a vintage elegance that feels soft, feminine, and completely timeless.","INTERIOR_DESIGN, HERITAGE, BRANDING, FASHION, RESTORATION","DELICATE, WARM, VINTAGE, SOFT, ELEGANT"
"RAL 3015","Light pink","{0} is the classic, soft pink we all know—clean, sweet, and youthful. It’s the color of innocence and playfulness, making it a natural choice for nurseries and toys. Unlike more 'dusty' pinks, this one is fresh and clear. In modern minimalist design, it’s been used to add a soft, 'millennial' pop of color to otherwise simple spaces. It reflects light beautifully and creates a sense of openness and airy freshness. It’s a gentle, calming choice for anyone looking to add a touch of sweetness and light to a design.","WELLNESS, HOSPITALITY, NURSERIES, PRODUCT_DESIGN, LIFESTYLE","SOFT, CALM, FRESH, CLEAN, GENTLE"
"RAL 3016","Coral red","{0} is a lively, sun-kissed red-pink with a strong orange heart. It’s vibrant and aquatic, bringing the energy of a tropical reef to any project. It’s a popular choice for sportswear and outdoor furniture because it feels so healthy, youthful, and fun. It’s less aggressive than a primary red but much more spirited than a plain orange. Pair it with turquoise or white for a nautical, summer vibe. It’s an energizing color that radiates vitality and modern cheerfulness, perfect for making a spirited statement.","BRANDING, FASHION, PRODUCT_DESIGN, SPORTSWEAR, PACKAGING","LIVELY, VIBRANT, PLAYFUL, WARM, MODERN"
"RAL 3017","Rose","{0} is a medium-intensity pink with a warm, fleshy heart—think of the deep color of a blooming petal or heavy satin. It feels soft but substantial, offering a sense of femininity and comfort. In product design and cosmetics, it’s used to convey a sense of luxury and emotional appeal. It pairs beautifully with warm woods and creams, creating an atmosphere that is expressive, romantic, and welcoming. It’s a classic, comforting choice for anyone looking for a floral-inspired warmth that feels both traditional and high-quality.","PRODUCT_DESIGN, COSMETICS, FURNITURE, INTERIOR_DESIGN, LIFESTYLE","ROMANTIC, SOFT, WARM, EXPRESSIVE, WELCOMING"
"RAL 3018","Strawberry red","{0} is a bright, juicy red-pink that captures the freshness of summer fruit. It sits happily between red and pink, offering a sweet, vibrant character that feels positive and appetizing. It’s a favorite for children’s products and food packaging because it attracts attention with a sense of playfulness and fun. It performs best in a gloss finish, where it looks like candy. It’s a recreational red—distinct from safety tones—conveying a sense of youthful energy and cheerful sweetness that is impossible to ignore.","PACKAGING, CHILDREN_S_PRODUCTS, BRANDING, LIFESTYLE, FASHION","PLAYFUL, BRIGHT, FRESH, SWEET, CHEERFUL"
"RAL 3020","Traffic red","{0} is the modern king of high-visibility red. It’s a high-intensity shade designed for roads, stop signs, and safety barriers. It’s slightly brighter and more 'orange' than traditional reds, ensuring it remains unmistakable in all lighting conditions. It communicates absolute prohibition and immediate action. In architecture, it’s the go-to for wayfinding and safety markings because it creates the highest possible contrast with the environment. It is the most rapidly detected color by the human eye in its family—aggressive, bold, and strictly functional.","SAFETY, TRANSPORTATION, SIGNAGE, INDUSTRIAL, INFRASTRUCTURE","BOLD, URGENT, VISIBLE, FUNCTIONAL, ASSERTIVE"
"RAL 3022","Salmon pink","{0} is a soft, warm pink with a gentle orange heart that mimics the natural color ofraw fish. It’s a friendly, welcoming hue used in wellness spaces and hospitality design to create a peaceful, 'human-centered' atmosphere. It provides a warm, flattering light that makes any room feel cozy and healthy. It’s much more natural and approachable than synthetic pinks, offering a nuanced warmth that pairs beautifully with teals and greens. Use it when you want a look that is calming, comforting, and organically cheerful.","INTERIOR_DESIGN, WELLNESS, PRODUCT_DESIGN, LIFESTYLE, HOSPITALITY","SOFT, WARM, WELCOMING, CALM, FRIENDLY"
"RAL 3024","Luminous red","{0} is a high-tech fluorescent red designed for one thing: emergency. It contains pigments that glow in daylight, which is why it’s the standard for fire trucks and safety markers in critical zones. It is intensely bright and chemical-looking, prioritizing immediate detection over any aesthetic concern. It conveys extreme urgency and a critical response. While it’s rarely used in a decorative way, it is a vital safety tool that ensure emergency equipment is seen instantly, representing the highest level of visual alertness and urgent action.","EMERGENCY_SERVICES, SIGNAGE, SAFETY, INDUSTRIAL, TRANSPORTATION","FLUORESCENT, URGENT, BOLD, VISIBLE, FUNCTIONAL"
"RAL 3027","Raspberry red","{0} is a saturated, cool red-pink with a luscious, berry-like character. It’s vivid and modern, making it a favorite in the worlds of fashion, cosmetics, and premium automotive design. It balances a bold, high-energy presence with a sophisticated feminine edge. It’s heavier than a typical pink but lighter than a serious dark red, suggesting confidence and freshness. Pair it with black or silver for a 'lifestyle' look that feels rich, energetic, and unmistakably modern.","FASHION, COSMETICS, PRODUCT_DESIGN, LIFESTYLE, BRANDING","VIBRANT, MODERN, CONFIDENT, FRESH, FEMININE"
"RAL 3028","Pure red","{0} is a straightforward, high-chroma red with no strong undertones—it is simply, purely 'red.' It was introduced for maritime signage and navigation aids because it is so clear and unmistakable. In automotive and branding design, it suggests modern power and decisive action. It is high-energy and assertive without being 'muddy.' Use it when you need a clear, unmistakable color that represents modern energy and a straightforward, bold direction. It’s a high-visibility standard that conveys clarity and active power.","AUTOMOTIVE, BRANDING, SIGNAGE, PRODUCT_DESIGN, INTERIORS","BOLD, CLEAR, ENERGETIC, MODERN, ASSERTIVE"
"RAL 3031","Orient red","{0} is a deep, warm reddish-brown that feels rich and cultural, much like traditional lacquer ware. It conveys a sense of history, premium quality, and craftsmanship. It’s darker and more 'settled' than traffic reds, making it a favorite for automotive branding and high-end product design. It suggests tradition and elegance, offering a visual depth that feels permanent and grounded. It’s the perfect choice for a brand or space that values heritage and a sophisticated, earthy richness that feels both exotic and refined.","ARCHITECTURE, CULTURAL, RESTORATION, PRODUCT_DESIGN, FURNITURE","RICH, WARM, TRADITIONAL, ELEGANT, EARTHY"
"RAL 3032","Pearl ruby red","{0} is red at its most glamorous. It’s a deep, jewel-toned shade with a metallic pearl finish that adds extraordinary depth and dimension. As the light moves across it, you’ll see sparkling highlights that mimic the depth of a gemstone. It’s a high-end choice for automotive finishes and luxury packaging, conveying prestige and a bold sophistication. It adds a dynamic, shimmering quality to any surface, making it the ultimate statement color for anyone who wants to combine rich color with a luxurious, modern sparkle.","AUTOMOTIVE, LUXURY_GOODS, BRANDING, ARCHITECTURE, PRODUCT_DESIGN","LUXURIOUS, BOLD, REFINED, RICH, DYNAMIC"
"RAL 3033","Pearl pink","{0} is a unique metallic pink that feels like a glimpse into the future. It blends a soft rose tone with a subtle metallic shimmer, creating a finish that is both delicate and technical. You’ll find it on high-end consumer electronics and automotive accents where a sense of modern femininity and innovation is required. It feels precious and refined, balancing a soft color profile with a high-tech edge. It’s the perfect choice for a brand or product that wants to signal elegance, innovation, and a very modern, refined sophistication.","AUTOMOTIVE, PRODUCT_DESIGN, FASHION, BRANDING, INTERIORS","DELICATE, REFINED, MODERN, ELEGANT, SOFT"
"RAL 4001","Red lilac","{0} is a soft, muted violet with a warm reddish heart. It captures the gentle, nostalgic feeling of blooming lilacs but with a rosier cast that makes it feel much more approachable than colder purples. It’s a classic choice for romantic interior design and traditional textiles, conveying refinement without excess. In both matte and gloss, it remains subtle and subdued. It’s a wonderful choice for nurseries or heritage restorations where you want a sense of gentle romance and a quiet, vintage-inspired calm.","INTERIOR_DESIGN, RESTORATION, FURNITURE, PRODUCT_DESIGN, CULTURAL","SOFT, REFINED, MUTED, VINTAGE, CALM"
"RAL 4002","Red violet","{0} is a rich, intense reddish-purple that feels energetic and deeply creative. It’s similar to a deep magenta and is a favorite in branding and advertising for its non-conformist, bold character. It performs beautifully in gloss finishes, adding a sophisticated flair to automotive parts and premium packaging. In industrial settings, it can even signal specific chemical hazards. It’s a color that stimulates the imagination and draws the eye, suggesting a modern energy and an elegant, creative distinction that is impossible to ignore.","AUTOMOTIVE, PACKAGING, BRANDING, PRODUCT_DESIGN, INTERIORS","RICH, CREATIVE, ELEGANT, BOLD, REFINED"
"RAL 4003","Heather violet","{0} is a vivid pink-purple that radiates youthfulness and fun. It’s a 'loud,' expressive color reminiscent of blooming heather. You’ll often find it in cosmetics, fashion, and playful product design where visual impact is the goal. It has high saturation and a confident, modern floral heart. It’s more energetic and 'pop-art' than a subtle lilac, making it the perfect choice for an artistic environment or any design that wants to project a lively, youthful, and vibrant creative energy.","COSMETICS, FASHION, PRODUCT_DESIGN, BRANDING, INTERIORS","PLAYFUL, EXPRESSIVE, VIBRANT, CREATIVE, YOUTHFUL"
"RAL 4004","Claret violet","{0} is a dark, wine-toned violet that feels aristocratic and incredibly sophisticated. It’s a deep, rich shade—think of velvet or a glass of Bordeaux. Because of its brown-violet heart, it conveys a sense of wealth, heritage, and exclusivity. You’ll see it in luxury automotive finishes, heritage architecture, and premium corporate branding. It absorbs light, appearing almost black in the shade but revealing a rich, wine-like depth in the sun. It’s the perfect choice for anyone looking for a look that is elegant, restrained, and classically rich.","ARCHITECTURE, LUXURY_GOODS, INTERIORS, FURNITURE, CULTURAL","ELEGANT, DEEP, CLASSIC, WARM, MATURE"
"RAL 4005","Blue lilac","{0} is a cool-toned, airy lavender that feels both modern and spiritual. It has a distinct blue undertone that makes it much more calming than reddish purples. It’s a fantastic choice for wellness spaces, meditation rooms, or minimal interiors where you want to promote a sense of calm and contemporary creativity. It suggests wisdom and an open, airy aesthetic. In branding, it’s a clean, sophisticated choice that avoids being 'muddy,' offering a soothing and modern character that pairs beautifully with cool greys and whites.","INTERIOR_DESIGN, WELLNESS, PRODUCT_DESIGN, BRANDING, LIFESTYLE","CALM, SOFT, CREATIVE, MODERN, SOOTHING"
"RAL 4006","Traffic purple","{0} is a bold, high-impact purple designed for modern energy and visual priority. It’s used in industry to signal invisible hazards like radiation, but in the worlds of fashion and branding, it represents a non-conformist, expressive creativity. It is assertive, synthetic, and dominating. Use it as a high-contrast accent to signal a forward-thinking, youthful energy. It’s a polarizing but powerful color that suggests a potent, creative confidence that is perfect for any design that wants to break away from the traditional.","BRANDING, SIGNAGE, FASHION, PRODUCT_DESIGN, INTERIORS","BOLD, EXPRESSIVE, VIBRANT, MODERN, CREATIVE"
"RAL 4007","Purple violet","{0} is red at its deepest, most mysterious edge. It’s a near-black aubergine shade with a formal and exclusive aesthetic. It’s more subtle and greyed-down than other purples, giving it a somber, high-end elegance. You’ll find it in luxury packaging and sophisticated furniture where an understated alternative to black is required. It conveys depth, introspection, and an authoritative mystery. Ideally suited for sophisticated interiors, it suggests a refined power and a hidden depth that adds a serious, elegant character to any premium project.","ARCHITECTURE, FURNITURE, LUXURY_GOODS, BRANDING, INTERIORS","DARK, EXCLUSIVE, ELEGANT, MYSTERIOUS, SOPHISTICATED"
"RAL 4008","Signal violet","{0} is a medium purple with a cool blue heart and a high-visibility, technical character. It’s used in safety coding and industrial identification to communicate specific messages clearly. It’s more active than a pastel but remains accessible and balanced. In creative branding or as a unique interior accent, it communicates a sense of distinction and modern creativity. It’s an unmistakable, vibrant choice that suggests a professional and balanced energy, perfect for anyone looking for a unique color that is both clear and creative.","BRANDING, SIGNAGE, INTERIOR_DESIGN, PRODUCT_DESIGN, FASHION","CREATIVE, UNIQUE, BALANCED, COOL, MODERN"
"RAL 4009","Pastel violet","{0} is a delicate, dusty violet with a sophisticated grey heart. It isn't a 'sugar-sweet' pastel; instead, it's a nuanced neutral that provides a calming, elegant backdrop. It works beautifully for interior walls and textiles, offering a soft alternative to grey that feels much warmer and more refined. It conveys a sense of gentleness and vintage elegance, making it perfect for wellness spaces or contemporary bedrooms where you want a look that is understated, calming, and effortlessly sophisticated.","INTERIOR_DESIGN, WELLNESS, PRODUCT_DESIGN, RESTORATION, HOSPITALITY","SOFT, SUBTLE, CALM, VINTAGE, ELEGANT"
"RAL 4010","Telemagenta","{0} is an icon of the digital age. This vibrant, high-saturation pink is famous as the corporate face of major telecommunications. it radiates energy, connectivity, and bold communication. It is synthetic, powerful, and absolutely dominates any visual space it occupies. It’s the perfect choice for branding and marketing where you want to signal a modern, forward-thinking energy. It’s a color that speaks of connectivity and a very bold, digital-ready confidence that is impossible to miss.","CORPORATE_BRANDING, MARKETING, TELECOMMUNICATIONS, SIGNAGE, ADVERTISING","ICONIC, VIBRANT, DIGITAL, BOLD, COMMUNICATIVE"
"RAL 5000","Violet blue","RAL 5000 {0} is a serious, authoritative blue with a hidden violet heart. It’s a classic maritime and industrial color that evokes the depth of the ocean. It conveys professionalism, reliability, and technical precision. Ideally suited for corporate uniforms, machinery, and modern architecture, it suggests a balanced and stable character. In the right light, its violet undertone reveals a sophisticated depth that distinguishes it from standard navy. It’s the perfect choice for anyone looking for a look that is professional, cool, and unmistakably dependable.","TRANSPORTATION, INDUSTRIAL, ARCHITECTURE, EQUIPMENT, PRODUCT_DESIGN","PROFESSIONAL, COOL, BALANCED, TECHNICAL, RELIABLE"
"RAL 5001","Green blue","RAL 5001 {0} is a deep, aquatic blue with a noticeable teal-green heart. It sits right on the border between the two families, resembling the depth of a lagoon or the neck of a peacock. It’s sophisticated, rich, and calm, conveying a sense of environmental awareness and natural strength. It’s a wonderful choice for marine applications or architectural metalwork because it offers a unique, design-led alternative to traditional navy. It projects clarity, strength, and a grounded, natural depth that feels both cool and incredibly strong.","MARINE, SIGNAGE, ARCHITECTURE, TRANSPORTATION, INFRASTRUCTURE","STABLE, COOL, AQUATIC, CLEAR, GROUNDED"
"RAL 5002","Ultramarine blue","{0} is blue at its most intense. It mimics the historical pigment from lapis lazuli and is the global reference for a pure, high-chroma blue. It radiates energy, clarity, and professional competence. You’ll find it everywhere from safety signage to high-performance automotive liveries. It’s a primary industrial color that suggests speed, modernity, and high-octane energy. Use it in a gloss finish to maximize its vibrancy—it’s a brilliant, straightforward choice for any project that wants to signal modern power and unmistakable clarity.","TRANSPORTATION, BRANDING, SPORTS, SIGNAGE, PRODUCT_DESIGN","BOLD, MODERN, VIBRANT, CLEAR, ENERGETIC"
"RAL 5003","Sapphire blue","{0} is a dark, dignified blue with a jewel-toned depth that feels incredibly stable and trustworthy. It’s a bit more muted than 'Ultramarine,' making it a classic standard for corporate branding and identity. It conveys trust, intelligence, and a refined intensity. In architecture, it’s a timeless choice for windows and doors, suggesting quality and durability. It’s a 'true' dark blue that avoids being too green or purple, providing a look that is elegant, deep, and classically professional for any high-end application.","ARCHITECTURE, AUTOMOTIVE, LUXURY_GOODS, INTERIORS, BRANDING","ELEGANT, DEEP, STABLE, REFINED, CLASSIC"
"RAL 5004","Black blue","{0} is the mysterious depth of the night sky in a bottle. It is an extremely dark blue bordering on black, producing a formal and ultra-modern aesthetic. It conveys authority, mystery, and a high-end, austere elegance. Architects love it for modern facades where a 'softer' alternative to stark black is needed. In luxury automotive design, it’s a legendary 'midnight' shade that pairs beautifully with chrome. Use it when you want a look that is dark, minimal, and carries a technical, prestigious depth that is both deep and formal.","ARCHITECTURE, TRANSPORTATION, INDUSTRIAL, EQUIPMENT, INTERIORS","DARK, FORMAL, MINIMAL, AUTHORITATIVE, TECHNICAL"
"RAL 5005","Signal blue","{0} is the functional voice of information. It’s a bright, medium blue optimized for maximum legibility and visual clarity in safety systems and public transport. It conveys instruction, professional dependability, and safety. In public spaces, it’s the standard for wayfinding because it feels approachable and clear. It’s a high-visibility choice designed to guide people effectively. Use it when you need a color that represents clear communication and a professional, instructional presence that ensured visual priority and trust.","TRANSPORTATION, SIGNAGE, SAFETY, INFRASTRUCTURE, INDUSTRIAL","BRIGHT, FUNCTIONAL, DEPENDABLE, VISIBLE, PROFESSIONAL"
"RAL 5007","Brilliant blue","{0} is a vibrant, clean blue that feels as fresh as a summer morning. With its slight violet heart, it offers a vivid yet professional tone that projects optimism and innovation. It’s a brilliant choice for modern machinery and tools because it makes them look precise and high-tech. In branding and modern architecture, it bridges the gap between boldness and reliability. It conveys a sense of innovation and cleanliness, representing a dynamic and balanced energy that is perfect for anyone looking for a fresh, clear, and professional blue.","BRANDING, PRODUCT_DESIGN, ARCHITECTURE, SIGNAGE, INTERIORS","VIVID, CLEAR, PROFESSIONAL, DYNAMIC, BALANCED"
"RAL 5008","Grey blue","{0} is a deep, muted blue with a strong grey heart—often called 'slate blue.' It’s an architectural favorite that conveys stability, history, and structural integrity. Ideally suited for roofing and industrial steelwork, it provides a technical, mature tone that supports neutral palettes. It is non-reflective and sober, creating a moody, sophisticated atmosphere in interiors. It pairs naturally with brick and concrete, offering a professional and timeless structural strength that feels both subtle and technical, making any large project look sophisticated and permanent.","ARCHITECTURE, INDUSTRIAL, EQUIPMENT, INTERIORS, INFRASTRUCTURE","SUBTLE, PROFESSIONAL, MATURE, TECHNICAL, NEUTRAL"
"RAL 5009","Azure blue","{0} is a rich, cool mid-tone blue that evokes the clarity of clear skies and coastal water. It has a slightly green heart and a wonderful retro charm, often associated with classic engineering and mid-century machinery. It conveys durability, calm, and openness. Ideally suited for marine design, wellness environments, and architecture, it promotes a sense of clarity and inviting warmth. It is a distinct and memorable blue that suggests a modern yet classic connection to air and water, perfect for anyone looking for an inviting, clear, and professional presence.","MARINE, WELLNESS, ARCHITECTURE, PRODUCT_DESIGN, INTERIORS","CALM, COOL, CLEAR, INVITING, MODERN"
"RAL 5010","Gentian blue","{0} is blue at its most dependable. Named after the alpine flower, it’s a standard for technical competence and functionality across the industrial world. It’s balanced, solid, and reliable—a true 'workhorse' color for motors, pumps, and tools. In automotive and branding contexts, it provides a sense of precision and modern confidence. It retains its strength in both gloss and matte finishes, offering a clean, technical look that is darker than 'Signal' blue but lighter than 'Sapphire,' representing a standard of professional power and reliable modernity.","AUTOMOTIVE, BRANDING, SIGNAGE, ARCHITECTURE, INDUSTRIAL","BOLD, CLEAN, TECHNICAL, MODERN, CONFIDENT"
"RAL 5011","Steel blue","{0} is a dark, gray-toned blue that offers a cold, metallic impression reminiscent of twilight or hardened metal. It conveys technical seriousness, endurance, and unyielding strength. Ideally suited for naval vessels, machinery, and modern infrastructure, it delivers a sense of authority and protection. It is less black than other dark blues, maintaining its cold blue character even in low light. It projects a professional and durable presence, perfect for any structural metalwork or corporate architecture requiring a strong, understated, and technically serious aesthetic.","INDUSTRIAL, ARCHITECTURE, TRANSPORTATION, EQUIPMENT, INFRASTRUCTURE","COLD, DURABLE, TECHNICAL, STRONG, UNDERSTATED"
"RAL 5012","Light blue","{0} is fresh, airy, and undeniably bright. It’s the standard color for compressed air pipelines, but in contemporary product design and interiors, it communicates approachability and a vibrant, synthetic energy. It’s a cyan-leaning blue that suggests clarity, flow, and lightness. It creates a stunning contrast with warmer oranges, making it a favorite for modern branding and public spaces. It’s a friendly, accessible color that radiates energy and visual openness, perfect for anything that needs to look fresh, clear, and unmistakably modern.","SIGNAGE, INTERIOR_DESIGN, PRODUCT_DESIGN, BRANDING, PUBLIC_SPACE","FRESH, CLEAR, APPROACHABLE, ENERGETIC, BRIGHT"
"RAL 5013","Cobalt blue","{0} is a deep, vibrant blue with a prestigious violet depth, mimicking the intensity of the famous pigment. Used in luxury goods, high fashion, and premium automotive design, it exudes richness and classic elegance. It conveys quality, depth, and permanence. Ideally suited for heavy-duty applications or corporate branding where a touch of wealth and classic reliability is required. It pairs beautifully with silver and white, offering a rich and elegant character that suggests a timeless industrial power and a sophisticated, deep-reaching professional quality.","LUXURY_GOODS, FASHION, AUTOMOTIVE, BRANDING, ARCHITECTURE","RICH, ELEGANT, VIBRANT, CLASSIC, DEEP"
"RAL 5014","Pigeon blue","{0} is a soft, muted mid-tone blue-gray that blends beautifully into both natural and urban settings. It’s elegant, refined, and carries a wonderful 'industrial-chic' character. Ideally suited for cabinetry, exterior architecture, and modern furniture, it conveys calmness and understated style. It was a popular color for vintage office gear, and today it serves as a balanced neutral that pairs perfectly with warm woods. It offers a muted and refined tone that represents a sophisticated and calm restoration aesthetic, perfect for anyone looking for a look that is both soft and professional.","ARCHITECTURE, RESTORATION, URBAN_DESIGN, FURNITURE, INTERIORS","MUTED, CALM, REFINED, SOFT, BALANCED"
"RAL 5015","Sky blue","{0} is a clear, medium-light blue that captures the feeling of a perfect midday sky and fresh air. Often found in signage, public spaces, and modern product design, it promotes openness, honesty, and freshness. It is a friendly and accessible blue that conveys clarity and emotional ease. It’s a favorite for nurseries and healthcare branding because it feels so positive and cheerful. Use it when you want a look that is bright, clear, and open, representing a sense of optimism and a very fresh, inviting professional character.","SIGNAGE, PUBLIC_SPACE, PRODUCT_DESIGN, INTERIOR_DESIGN, TRANSPORTATION","BRIGHT, CLEAR, OPEN, FRESH, CHEERFUL"
"RAL 5017","Traffic blue","{0} is a high-visibility, saturated blue designed for traffic signage and public transport. Calibrated for maximum clarity and visual authority, it remains consistent in varied lighting to guide navigation and movement. It conveys law, order, and dependable instruction. Slightly lighter and more intense than other industrial blues, it is a functional standard for official livery and safety markings. It commands respect and attention, ensuring clear communication and a professional, functional presence across the complex world of public infrastructure and urban transport.","TRANSPORTATION, SIGNAGE, SAFETY, INFRASTRUCTURE, INDUSTRIAL","VISIBLE, DEPENDABLE, CLEAR, TECHNICAL, FUNCTIONAL"
"RAL 5018","Turquoise blue","{0} is a vibrant, green-tinted blue that brings a burst of energy and aquatic freshness. Popular in wellness spaces, swimming pools, and playful product design, it suggests renewal, creativity, and cleanliness. It is an aquatic and refreshing color that adds a youthful spark to industrial products and modern interiors. It conveys a bold, directional energy that is both bright and creative, making it a favorite for anything that needs to look fresh, energetic, and unmistakably vibrant in a wellness or creative context.","WELLNESS, PRODUCT_DESIGN, BRANDING, INTERIOR_DESIGN, LIFESTYLE","FRESH, CREATIVE, ENERGETIC, BRIGHT, YOUTHFUL"
"RAL 5019","Capri blue","{0} is a lively, medium blue with a slight green heart that evokes the clear waters of a coastal holiday. Used in lifestyle products, fashion, and signage, it is cheerful, bright, and clean. It conveys a sense of water, leisure, and relaxation, making it an inviting choice for travel branding and textiles. It’s a distinct and memorable blue that suggests a casual yet inviting warmth. Perfect for anyone looking for a look that is marine-inspired and cheerful, representing a sense of holiday energy and a very clear, inviting professional character.","PRODUCT_DESIGN, FASHION, SIGNAGE, INTERIOR_DESIGN, LEISURE","CHEERFUL, BRIGHT, CLEAN, CASUAL, INVITING"
"RAL 5020","Ocean blue","{0} is a dark, greenish blue that reflects the mystery and depth of deep water. It’s green-biased, sophisticated, and cool, often used in architectural glazing and maritime design to create a grounded, calming presence. It conveys a sense of permanence and depth, pairing beautifully with dark wood and metallic accents. Calming but intense, it adds a sophisticated and stable character to interiors and industrial coatings. Use it when you want a look that is deep, grounded, and suggests a mysterious, modern elegance that is both calm and incredibly strong.","INDUSTRIAL, MARINE, ARCHITECTURE, TRANSPORTATION, INFRASTRUCTURE","CALM, DEEP, GROUNDED, STABLE, COOL"
"RAL 5021","Water blue","{0} is a light, fresh blue-green tone that is the gold standard for hygiene-focused design and wellness spaces. It projects cleanliness, balance, and tranquility, making it ideal for healthcare facilities and spa environments. It is a refreshing and balanced color that promotes healing and visual ease. Often associated with sanitary ware and modern tiles, it conveys a sense of aquatic health and tranquil calmness. It’s a perfect choice for hospital corridors or modern interiors seeking a clean, fresh, and soft professional aesthetic that feels both balanced and soothing.","HEALTHCARE, WELLNESS, HYGIENE, PRODUCT_DESIGN, INTERIORS","CLEAN, FRESH, TRANQUIL, SOFT, BALANCED"
